[µs]	Sample
0	0
769	1
775	0
786	1
801	0
812	1
827	0
838	1
854	0
864	1
880	0
890	1
906	0
916	1
933	0
943	1
959	0
969	1
985	0
1021	1
1037	0
1048	1
1063	0
1074	1
1090	0
1101	1
1115	0
1126	1
1141	0
1153	1
1168	0
1178	1
1194	0
1204	1
1221	0
1231	1
1247	0
1257	1
1273	0
1283	1
1299	0
1310	1
1326	0
1336	1
1351	0
1362	1
1377	0
1388	1
1403	0
1415	1
1430	0
1441	1
1456	0
1467	1
1482	0
1494	1
1509	0
1519	1
1535	0
1545	1
1561	0
1571	1
1587	0
1597	1
1614	0
1624	1
1640	0
1650	1
1666	0
1676	1
1693	0
1703	1
1719	0
1729	1
1744	0
1759	1
1771	0
1781	1
1797	0
1807	1
1824	0
1834	1
1850	0
1860	1
1875	0
1886	1
1901	0
1913	1
1928	0
1939	1
1954	0
1965	1
1980	0
1991	1
2006	0
2016	1
2033	0
2043	1
2059	0
2069	1
2085	0
2095	1
2112	0
2122	1
2138	0
2148	1
2164	0
2174	1
2191	0
2201	1
2216	0
2227	1
2242	0
2253	1
2268	0
2280	1
2295	0
2306	1
2327	0
2331	1
2347	0
2358	1
2373	0
2384	1
2400	0
2410	1
2426	0
2437	1
2452	0
2463	1
2478	0
2488	1
2504	0
2515	1
2531	0
2541	1
2557	0
2567	1
2583	0
2593	1
2610	0
2620	1
2636	0
2646	1
2662	0
2672	1
2687	0
2699	1
2714	0
2725	1
2740	0
2751	1
2766	0
2777	1
2793	0
2804	1
2819	0
2830	1
2845	0
2855	1
2871	0
2881	1
2898	0
2908	1
2924	0
2934	1
2950	0
2960	1
2977	0
2987	1
3003	0
3013	1
3029	0
3039	1
3054	0
3066	1
3081	0
3092	1
3107	0
3118	1
3133	0
3144	1
3159	0
3171	1
3186	0
3197	1
3212	0
3222	1
3238	0
3248	1
3265	0
3275	1
3291	0
3301	1
3317	0
3327	1
3343	0
5031	1
5046	0
5057	1
5073	0
5083	1
5100	0
5110	1
5125	0
5136	1
5152	0
5162	1
5178	0
5188	1
5203	0
5215	1
5230	0
5240	1
5257	0
5267	1
5282	0
5293	1
5308	0
5319	1
5335	0
5345	1
5362	0
5372	1
5387	0
5398	1
5413	0
5424	1
5440	0
6708	1
6724	0
6735	1
6750	0
6760	1
6777	0
6787	1
6802	0
6813	1
6829	0
6839	1
6855	0
6865	1
6881	0
6892	1
6907	0
6917	1
6934	0
6944	1
6960	0
6970	1
6986	0
6996	1
7012	0
7023	1
7038	0
7049	1
7064	0
7075	1
7091	0
7101	1
7130	0
8386	1
8402	0
8412	1
8427	0
8438	1
8454	0
8464	1
8480	0
8490	1
8505	0
8517	1
8532	0
8542	1
8559	0
8569	1
8585	0
8595	1
8610	0
8622	1
8637	0
8647	1
8664	0
8674	1
8689	0
8700	1
8716	0
8726	1
8742	0
8752	1
8767	0
8779	1
8794	0
9224	1
9240	0
9250	1
9267	0
9277	1
9292	0
9303	1
9318	0
9329	1
9345	0
9355	1
9370	0
9382	1
9397	0
9407	1
9424	0
9434	1
9449	0
9460	1
9475	0
9486	1
9502	0
9512	1
9529	0
9539	1
9554	0
9565	1
9580	0
9591	1
9607	0
9617	1
9632	0
10063	1
10078	0
10089	1
10105	0
10115	1
10131	0
10141	1
10156	0
10168	1
10183	0
10193	1
10210	0
10220	1
10236	0
10246	1
10288	0
10335	1
10340	0
10351	1
10367	0
10377	1
10392	0
10404	1
10419	0
10429	1
10445	0
10456	1
10472	0
10901	1
10918	0
10928	1
10943	0
10954	1
10969	0
10980	1
10996	0
11006	1
11021	0
11033	1
11048	0
11063	1
11074	0
11085	1
11101	0
11111	1
11126	0
11138	1
11153	0
11163	1
11179	0
11190	1
11205	0
11216	1
11231	0
11241	1
11258	0
11268	1
11283	0
11295	1
11310	0
12578	1
12594	0
12605	1
12621	0
12631	1
12646	0
12658	1
12673	0
12683	1
12700	0
12710	1
12725	0
12736	1
12751	0
12762	1
12778	0
12788	1
12803	0
12815	1
12830	0
12841	1
12856	0
12867	1
12883	0
12893	1
12908	0
12920	1
12935	0
12947	1
12961	0
12972	1
12987	0
13417	1
13433	0
13444	1
13459	0
13469	1
13486	0
13496	1
13511	0
13523	1
13538	0
13548	1
13564	0
13574	1
13590	0
13601	1
13616	0
13626	1
13643	0
13653	1
13669	0
13685	1
13695	0
13705	1
13722	0
13732	1
13747	0
13758	1
13773	0
13784	1
13800	0
13810	1
13825	0
14257	1
14272	0
14282	1
14297	0
14309	1
14324	0
14334	1
14350	0
14361	1
14377	0
14387	1
14402	0
14414	1
14429	0
14439	1
14455	0
14466	1
14481	0
14492	1
14507	0
14517	1
14534	0
14544	1
14559	0
14571	1
14586	0
14597	1
14612	0
14623	1
14639	0
14649	1
14664	0
15933	1
15948	0
15960	1
15975	0
15985	1
16002	0
