[µs]	Sample
0	0
77	1
94	0
104	1
120	0
130	1
146	0
156	1
173	0
183	1
199	0
209	1
225	0
235	1
251	0
262	1
278	0
288	1
330	0
340	1
356	0
367	1
382	0
392	1
409	0
419	1
434	0
444	1
461	0
471	1
487	0
497	1
513	0
523	1
540	0
550	1
566	0
576	1
592	0
602	1
618	0
628	1
645	0
655	1
671	0
681	1
696	0
707	1
722	0
734	1
749	0
760	1
775	0
786	1
801	0
812	1
827	0
839	1
854	0
864	1
880	0
890	1
906	0
916	1
933	0
943	1
959	0
969	1
985	0
995	1
1011	0
1022	1
1038	0
1048	1
1070	0
1074	1
1090	0
1100	1
1116	0
1126	1
1141	0
1153	1
1168	0
1179	1
1194	0
1205	1
1220	0
1232	1
1247	0
1258	1
1273	0
1283	1
1299	0
1309	1
1326	0
1336	1
1352	0
1362	1
1378	0
1388	1
1404	0
1414	1
1431	0
1441	1
1457	0
1467	1
1483	0
1493	1
1508	0
1520	1
1535	0
1546	1
1561	0
1572	1
1587	0
1599	1
1614	0
1625	1
1640	0
1651	1
1666	0
1677	1
1692	0
1704	1
1719	0
1729	1
1745	0
1755	1
1771	0
1781	1
1797	0
1807	1
1824	0
1834	1
1850	0
1860	1
1876	0
1886	1
1903	0
1913	1
1928	0
1939	1
1954	0
1965	1
1980	0
1992	1
2007	0
2018	1
2033	0
2044	1
2059	0
2070	1
2085	0
2095	1
2112	0
2122	1
2138	0
2148	1
2164	0
2174	1
2191	0
2201	1
2217	0
2227	1
2243	0
2253	1
2268	0
2280	1
2295	0
2306	1
2321	0
2332	1
2347	0
2358	1
2374	0
2385	1
2400	0
2410	1
2427	0
2437	1
2453	0
2463	1
2479	0
2489	1
2504	0
2515	1
2531	0
2542	1
2557	0
2568	1
2583	0
2594	1
2609	0
2621	1
2636	0
2647	1
2662	0
2672	1
2688	0
2698	1
2715	0
2725	1
2741	0
2751	1
2767	0
2777	1
2793	0
2803	1
2820	0
2830	1
2846	0
2856	1
2871	0
2882	1
2897	0
2909	1
2924	0
2934	1
2951	0
2962	1
2976	0
2987	1
3002	0
3013	1
3029	0
3040	1
3056	0
3066	1
3082	0
3092	1
3108	0
3118	1
3134	0
3144	1
3159	0
3171	1
3186	0
3197	1
3212	0
3223	1
3238	0
3250	1
3265	0
3276	1
3291	0
3302	1
3317	0
3327	1
3343	0
5031	1
5048	0
5058	1
5073	0
5084	1
5099	0
5110	1
5125	0
5137	1
5152	0
5163	1
5178	0
5189	1
5204	0
5214	1
5230	0
5240	1
5257	0
5267	1
5283	0
5293	1
5309	0
5319	1
5336	0
5346	1
5362	0
5372	1
5388	0
5398	1
5413	0
5425	1
5440	0
6709	1
6724	0
6734	1
6751	0
6761	1
6777	0
6787	1
6803	0
6813	1
6849	0
6851	1
6855	0
6866	1
6882	0
6893	1
6908	0
6919	1
6933	0
6944	1
6961	0
6971	1
6987	0
6997	1
7013	0
7023	1
7038	0
7049	1
7064	0
7076	1
7091	0
7102	1
7117	0
8386	1
8402	0
8412	1
8428	0
8438	1
8454	0
8464	1
8481	0
8491	1
8507	0
8517	1
8532	0
8543	1
8559	0
8569	1
8584	0
8596	1
8612	0
8622	1
8638	0
8648	1
8663	0
8674	1
8689	0
8701	1
8716	0
8727	1
8742	0
8753	1
8768	0
8778	1
8795	0
9225	1
9240	0
9251	1
9266	0
9277	1
9293	0
9303	1
9319	0
9329	1
9346	0
9356	1
9371	0
9382	1
9397	0
9409	1
9424	0
9434	1
9450	0
9460	1
9477	0
9487	1
9502	0
9513	1
9535	0
9539	1
9554	0
9565	1
9581	0
9591	1
9607	0
9618	1
9633	0
10064	1
10079	0
10090	1
10105	0
10116	1
10131	0
10142	1
10157	0
10167	1
10184	0
10194	1
10210	0
10220	1
10236	0
10246	1
10263	0
10276	1
10289	0
10299	1
10314	0
10326	1
10341	0
10352	1
10367	0
10377	1
10393	0
10403	1
10420	0
10430	1
10446	0
10456	1
10472	0
10902	1
10917	0
10929	1
10944	0
10954	1
10970	0
10980	1
10996	0
11006	1
11023	0
11033	1
11049	0
11059	1
11075	0
11085	1
11101	0
11111	1
11128	0
11138	1
11153	0
11164	1
11179	0
11190	1
11205	0
11217	1
11232	0
11243	1
11258	0
11269	1
11284	0
11294	1
11311	0
12579	1
12595	0
12606	1
12621	0
12631	1
12647	0
12657	1
12674	0
12684	1
12700	0
12710	1
12726	0
12736	1
12752	0
12762	1
12779	0
12789	1
12804	0
12815	1
12830	0
12841	1
12856	0
12872	1
12883	0
12893	1
12910	0
12920	1
12936	0
12946	1
12961	0
12972	1
12987	0
13418	1
13438	0
13443	1
13460	0
13471	1
13485	0
13496	1
13512	0
13522	1
13538	0
13549	1
13564	0
13575	1
13590	0
13602	1
13617	0
13628	1
13643	0
13654	1
13669	0
13679	1
13696	0
13706	1
13722	0
13732	1
13748	0
13758	1
13774	0
13784	1
13801	0
13811	1
13827	0
14257	1
14272	0
14282	1
14298	0
