[µs]	Sample
0	0
77	1
94	0
104	1
120	0
130	1
146	0
156	1
173	0
183	1
199	0
209	1
225	0
235	1
252	0
262	1
278	0
288	1
329	0
340	1
356	0
367	1
382	0
393	1
409	0
418	1
434	0
445	1
461	0
471	1
487	0
497	1
514	0
524	1
540	0
550	1
565	0
576	1
591	0
602	1
617	0
629	1
644	0
655	1
670	0
681	1
696	0
708	1
723	0
733	1
749	0
759	1
775	0
785	1
801	0
811	1
828	0
838	1
854	0
864	1
880	0
890	1
907	0
917	1
933	0
943	1
959	0
969	1
985	0
995	1
1012	0
1022	1
1037	0
1048	1
1071	0
1074	1
1089	0
1101	1
1116	0
1127	1
1142	0
1152	1
1168	0
1178	1
1195	0
1205	1
1221	0
1231	1
1247	0
1257	1
1273	0
1283	1
1300	0
1310	1
1326	0
1336	1
1351	0
1362	1
1377	0
1389	1
1404	0
1415	1
1430	0
1441	1
1456	0
1468	1
1483	0
1493	1
1509	0
1519	1
1535	0
1545	1
1562	0
1572	1
1588	0
1598	1
1614	0
1624	1
1640	0
1650	1
1666	0
1677	1
1692	0
1703	1
1719	0
1729	1
1745	0
1755	1
1771	0
1781	1
1798	0
1808	1
1824	0
1834	1
1850	0
1860	1
1875	0
1886	1
1902	0
1913	1
1928	0
1939	1
1954	0
1965	1
1980	0
1992	1
2007	0
2017	1
2033	0
2043	1
2059	0
2069	1
2086	0
2096	1
2112	0
2122	1
2138	0
2148	1
2165	0
2175	1
2191	0
2201	1
2216	0
2227	1
2242	0
2253	1
2269	0
2280	1
2295	0
2306	1
2321	0
2332	1
2347	0
2357	1
2376	0
2384	1
2400	0
2410	1
2426	0
2436	1
2453	0
2463	1
2479	0
2489	1
2505	0
2515	1
2530	0
2542	1
2557	0
2568	1
2583	0
2594	1
2609	0
2621	1
2636	0
2647	1
2662	0
2673	1
2688	0
2698	1
2714	0
2725	1
2741	0
2751	1
2767	0
2777	1
2793	0
2803	1
2818	0
2830	1
2846	0
2856	1
2871	0
2882	1
2897	0
2909	1
2924	0
2942	1
2950	0
2961	1
2976	0
2987	1
3003	0
3014	1
3029	0
3040	1
3056	0
3066	1
3081	0
3092	1
3107	0
3118	1
3133	0
3145	1
3160	0
3171	1
3186	0
3197	1
3212	0
3224	1
3239	0
3249	1
3265	0
3275	1
3291	0
3301	1
3317	0
3327	1
3344	0
5032	1
5047	0
5057	1
5073	0
5083	1
5100	0
5110	1
5126	0
5136	1
5152	0
5162	1
5177	0
5189	1
5204	0
5215	1
5230	0
5241	1
5256	0
5268	1
5283	0
5294	1
5309	0
5320	1
5335	0
5345	1
5361	0
5372	1
5388	0
5398	1
5414	0
5424	1
5440	0
6708	1
6725	0
6735	1
6750	0
6761	1
6776	0
6787	1
6802	0
6814	1
6829	0
6840	1
6855	0
6866	1
6908	0
6919	1
6934	0
6944	1
6961	0
6970	1
6986	0
6997	1
7012	0
7023	1
7038	0
7050	1
7065	0
7076	1
7091	0
7102	1
7117	0
8385	1
8402	0
8412	1
8428	0
8438	1
8454	0
8464	1
8480	0
8490	1
8507	0
8517	1
8533	0
8543	1
8559	0
8569	1
8584	0
8596	1
8611	0
8622	1
8637	0
8648	1
8663	0
8675	1
8690	0
8701	1
8716	0
8726	1
8742	0
8752	1
8768	0
8778	1
8795	0
9224	1
9240	0
9250	1
9267	0
9277	1
9293	0
9303	1
9319	0
9329	1
9344	0
9356	1
9371	0
9382	1
9397	0
9408	1
9423	0
9435	1
9450	0
9461	1
9476	0
9486	1
9502	0
9512	1
9529	0
9539	1
9555	0
9565	1
9581	0
9591	1
9608	0
9618	1
9633	0
10063	1
10078	0
10090	1
10105	0
10116	1
10131	0
10142	1
10157	0
10167	1
10184	0
10194	1
10210	0
10220	1
10236	0
10246	1
10263	0
10273	1
10288	0
10298	1
10315	0
10325	1
10341	0
10351	1
10367	0
10377	1
10394	0
10404	1
10420	0
10430	1
10445	0
10456	1
10471	0
10902	1
10917	0
10928	1
10944	0
10955	1
10970	0
10980	1
10995	0
11007	1
11022	0
11033	1
11048	0
11059	1
11074	0
11086	1
11101	0
11112	1
11127	0
11137	1
11153	0
11163	1
11180	0
11190	1
11206	0
11216	1
11232	0
11242	1
11258	0
11268	1
11285	0
11295	1
11311	0
12579	1
12594	0
12606	1
12621	0
12632	1
12647	0
12657	1
12673	0
12683	1
12700	0
12710	1
12726	0
12736	1
12752	0
12762	1
12778	0
12788	1
12805	0
12815	1
12831	0
12841	1
12857	0
12867	1
12909	0
12920	1
12935	0
12946	1
12961	0
12972	1
12987	0
13417	1
13433	0
13443	1
13467	0
13470	1
13486	0
13496	1
13512	0
13522	1
13538	0
13548	1
13565	0
13575	1
13591	0
13601	1
13617	0
13627	1
13644	0
13654	1
13669	0
13680	1
13695	0
13706	1
13721	0
13732	1
13747	0
13759	1
13774	0
13785	1
13800	0
13810	1
13826	0
14257	1
14272	0
14283	1
14298	0
14308	1
14324	0
14334	1
14351	0
